year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2017,115245,NaN,0.0,honda,fwd,silver,NaN,0.0
2009,169140,4,0.0,ford,rwd,white,5900,0.0
2008,128395,6,0.0,lexus,fwd,NaN,9995,0.0
2017,66331,NaN,0.0,chevrolet,rwd,grey,29985,1.0
2019,15001,NaN,0.0,chevrolet,fwd,NaN,22985,0.0
2014,72587,NaN,0.0,bmw,rwd,white,24985,0.0
2014,99832,NaN,0.0,bmw,rwd,black,13985,0.0
2015,158500,4,0.0,ford,fwd,white,12500,0.0
2014,108302,NaN,0.0,bmw,rwd,blue,15985,0.0
2015,62789,NaN,0.0,bmw,rwd,grey,21985,0.0
2015,107772,NaN,0.0,bmw,rwd,black,17985,0.0
2015,59372,NaN,0.0,bmw,4wd,black,18985,0.0
2018,75360,NaN,0.0,bmw,rwd,black,23985,0.0
2020,55784,NaN,0.0,bmw,rwd,black,27985,0.0
2012,64805,NaN,0.0,audi,4wd,white,16985,0.0
2013,149119,NaN,0.0,bmw,4wd,white,10985,0.0
2014,116764,NaN,0.0,bmw,rwd,black,13985,0.0
2014,76826,NaN,0.0,bmw,rwd,black,18985,0.0
2015,72046,NaN,0.0,bmw,rwd,white,15985,0.0
2020,33152,6,0.0,jeep,4wd,white,41000,1.0
2021,9116,NaN,0.0,cadillac,fwd,grey,29985,0.0
2020,35244,NaN,0.0,bmw,rwd,white,43985,0.0
2017,62611,4,0.0,NaN,4wd,NaN,30500,0.0
2015,101962,6,0.0,ford,rwd,white,31900,0.0
2013,114478,NaN,0.0,bmw,rwd,white,19985,0.0
2014,92184,NaN,0.0,bmw,4wd,white,16985,0.0
2016,75698,NaN,0.0,bmw,rwd,white,24985,0.0
2016,80574,NaN,0.0,bmw,rwd,white,17985,0.0
2017,11711,NaN,0.0,chevrolet,fwd,black,16985,0.0
2015,137922,NaN,0.0,bmw,4wd,black,14985,0.0
2016,70023,NaN,0.0,bmw,4wd,grey,18985,0.0
2016,58055,NaN,0.0,bmw,rwd,black,18985,0.0
2015,85250,NaN,0.0,bmw,rwd,silver,15985,0.0
2016,64940,NaN,0.0,bmw,4wd,black,45985,0.0
2018,17508,NaN,0.0,audi,4wd,white,29985,0.0
