year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2016.0,91992.0,,0.0,toyota,fwd,red,,1.0
2009.0,135000.0,4.0,0.0,honda,,silver,5900.0,0.0
2015.0,88888.0,,1.0,a,,,250.0,0.0
2008.0,270000.0,6.0,0.0,,,yellow,10500.0,0.0
2010.0,186377.0,,0.0,nissan,fwd,,8750.0,0.0
1998.0,160188.0,8.0,0.0,ford,rwd,white,4500.0,0.0
2001.0,155000.0,8.0,0.0,toyota,rwd,red,7500.0,0.0
2023.0,550.0,4.0,0.0,toyota,fwd,,421.0,0.0
2002.0,171000.0,6.0,0.0,toyota,fwd,grey,3500.0,0.0
1976.0,21435.0,8.0,0.0,,4wd,brown,20000.0,0.0
2019.0,37750.0,4.0,0.0,mini,fwd,white,27000.0,0.0
2017.0,33200.0,4.0,0.0,vw,,white,24500.0,1.0
2010.0,137000.0,4.0,0.0,pontiac,,black,3100.0,0.0
2014.0,63000.0,,0.0,bmw,,white,10900.0,0.0
2021.0,25811.0,4.0,0.0,mazda,fwd,,400.0,0.0
2008.0,133000.0,4.0,0.0,subaru,4wd,blue,6500.0,0.0
2017.0,107316.0,,0.0,chevrolet,fwd,black,15495.0,0.0
2022.0,2400.0,6.0,0.0,ford,4wd,red,64500.0,0.0
2012.0,150000.0,4.0,0.0,honda,fwd,,11900.0,1.0
2012.0,144000.0,,0.0,bmw,,,13500.0,0.0
2015.0,80387.0,,0.0,,,white,34988.0,0.0
2020.0,48448.0,4.0,0.0,kia,fwd,,271.0,0.0
2004.0,256041.0,,0.0,dodge,4wd,white,14990.0,0.0
1963.0,87.0,,0.0,chevrolet,,,137500.0,0.0
2001.0,96000.0,,0.0,mercedes,,,9900.0,0.0
2019.0,53976.0,4.0,0.0,mazda,fwd,,332.0,0.0
2007.0,151505.0,6.0,0.0,,fwd,blue,5200.0,0.0
2004.0,320000.0,8.0,0.0,gmc,4wd,,15500.0,0.0
2017.0,69902.0,,0.0,toyota,fwd,black,,0.0
2021.0,43321.0,4.0,0.0,honda,fwd,,385.0,0.0
2006.0,194000.0,6.0,0.0,toyota,4wd,,13900.0,0.0
1967.0,79000.0,8.0,0.0,toyota,4wd,yellow,17500.0,0.0
2016.0,69946.0,,0.0,,,silver,41988.0,0.0
2013.0,89300.0,4.0,0.0,chevrolet,fwd,grey,7500.0,0.0
2008.0,127500.0,8.0,0.0,mercedes,rwd,black,10599.0,0.0
1989.0,127000.0,4.0,0.0,,rwd,blue,4500.0,1.0
2021.0,28557.0,4.0,0.0,toyota,fwd,,428.0,0.0
2018.0,120074.0,,0.0,toyota,fwd,,20995.0,0.0
2007.0,113000.0,,0.0,lexus,,,10900.0,0.0
2006.0,188471.0,,0.0,ford,4wd,blue,15990.0,0.0
2013.0,116000.0,6.0,0.0,,,black,4900.0,0.0
2010.0,108000.0,6.0,0.0,,,,6900.0,1.0
1967.0,102000.0,8.0,0.0,buick,,,5200.0,0.0
2012.0,104000.0,,1.0,toyota,,,12500.0,0.0
2019.0,26421.0,4.0,0.0,hyundai,fwd,,268.0,0.0
1990.0,33400.0,8.0,0.0,,rwd,black,19900.0,0.0
2007.0,107000.0,,0.0,bmw,,,6999.0,0.0
2004.0,178000.0,6.0,0.0,toyota,,white,4400.0,0.0
